"Source:","/home/robocon/PCB/PCB/POS_card/POS_card.kicad_sch"
"Date:","Fri Feb 25 23:14:53 2022"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","74"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","U5","W25Q128JVS","Memory_Flash:W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","","","",""
"","","Y1","40MHz","Device:Crystal_GND23_Small","","~","","","",""
"","","Y2","ABLS-12.000MHZ-B4-T","Device:Crystal","","~","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"1","2","C1, C2","22pF","Device:C_Small","","~","","","",""
"2","3","C3, C21, C23","100nF","Device:C_Small","","~","","","",""
"3","9","C4, C5, C7, C8, C11, C12, C13, C14, C16","100n","Device:C_Small","","~","","","",""
"4","2","C6, C9","1u","Device:C_Small","","~","","","",""
"5","3","C10, C15, C17","100nf","Device:C_Small","","~","","","",""
"6","2","C18, C19","27p","Device:C_Small","","~","","","",""
"7","2","C20, C22","10u","Device:C_Small","","~","","","",""
"8","1","D1","User_LED","Device:LED_Small","","~","","","",""
"9","1","D2","power","Device:LED_Small","","~","","","",""
"10","1","J1","molex3.0 2x2","Connector_Generic:Conn_02x02_Counter_Clockwise","","~","","","",""
"11","1","J2","UART","Connector_Generic:Conn_01x04","","~","","","",""
"12","1","J3","SWD","Connector_Generic:Conn_01x04","","~","","","",""
"13","1","J4","USB_B_Micro","Connector:USB_B_Micro","","~","","","",""
"14","1","J5","Conn_01x02","Connector_Generic:Conn_01x02","","~","","","",""
"15","1","J6","Encoder1","Connector_Generic:Conn_01x05","","~","","","",""
"16","1","J7","Encoder2","Connector_Generic:Conn_01x05","","~","","","",""
"17","1","JP1","Term.","Jumper:Jumper_2_Bridged","","~","","","",""
"18","6","Q1, Q2, Q3, Q4, Q5, Q6","BSS138","Transistor_FET:BSS138","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF","","","",""
"19","16","R1, R5, R6, R7, R8, R9, R10, R12, R13, R14, R15, R16, R17, R20, R24, R26","10k","Device:R_Small","","~","","","",""
"20","2","R2, R3","27.4","Device:R_Small","","~","","","",""
"21","1","R4","6k8","Device:R_Small","","~","","","",""
"22","1","R11","120","Device:R_Small","","~","","","",""
"23","1","R18","3.3k","Device:R_Small","","~","","","",""
"24","2","R19, R21","1k","Device:R_Small","","~","","","",""
"25","2","R22, R25","100","Device:R_Small","","~","","","",""
"26","1","R23","10K","Device:R_Small","","~","","","",""
"27","2","SW1, SW2","SW_Push","Switch:SW_Push","","~","","","",""
"28","1","U1","RP2040","PolyuRobotics:RP2040","PolyuRobotics:QFN40P700X700X90-57N","","Raspberry Pi","0.9 mm","1.6.1","IPC 7351B"
"29","1","U2","MCP2517FD-xSL","Interface_CAN_LIN:MCP2517FD-xSL","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://ww1.microchip.com/downloads/en/DeviceDoc/20005688A.pdf","","","",""
"30","1","U3","MCP2562-E-SN","Interface_CAN_LIN:MCP2562-E-SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf","","","",""
"31","1","U4","NCP1117-3.3_SOT223","Regulator_Linear:NCP1117-3.3_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","","","",""
"32","1","U5","W25Q128JVS","Memory_Flash:W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","","","",""
"33","1","Y1","40MHz","Device:Crystal_GND23_Small","","~","","","",""
"34","1","Y2","ABLS-12.000MHZ-B4-T","Device:Crystal","","~","","","",""
